Budget Year Name,Account Type,Balance Type,Current Stage Desc,Unit And Desc,DEPT,Subunit And Desc,Child Fund And Desc,Child Project And Desc,Program And Desc,Child Acct And Desc, Year Amount SUM 
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41123 - Property Tax: County Administration Charge," (1,276,090)"
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41124 - Property Tax: Miscellaneous," 12,830 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41127 - Property Tax: Vehicle License Fee (VLF) - Property Tax Swap," 31,888,360 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41211 - Voter-Approved: Current Secured," 43,997,180 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,6063 - General Obligation Bonds: Series 2005,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41211 - Voter-Approved: Current Secured," 11,091,070 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6310 - Measure G: 2002A Zoo, Museum, Chabot",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41211 - Voter-Approved: Current Secured," 2,549,250 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6311 - Measure G: 2006 Zoo, Museum",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41211 - Voter-Approved: Current Secured," 1,329,360 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6320 - Measure DD: 2003A Clean Water, Safe Parks and Open Space Trust Fund for Oakland",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41211 - Voter-Approved: Current Secured," 4,429,510 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41212 - Voter-Approved: Current Unsecured," 5,241,160 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41213 - Voter-Approved: Unitary Tax," 4,202,400 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41214 - Voter-Approved: Current HOPTR," 663,450 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41215 - Voter-Approved: Prior Secured," 2,753,320 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41216 - Voter-Approved: Prior Unsecured," (66,300)"
FY10-11,Revenue,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1200 - Pension Override Tax Revenue,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,41218 - Voter-Approved: Secured Supplemental Assessment," 2,156,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41311 - Sales and Use Tax: Sales and Use Tax," 34,217,720 "
FY10-11,Revenue,Estimate,pre-test Midcycle,41311 - Purchasing,Dept of Contracting and Purchasing,No SubUnit,4550 - Purchasing,0000000 - UNDETERMINED PROJECT,IP28 - PURCHASING AND CONTRACT ADMINISTRATION,41311 - Sales and Use Tax: Sales and Use Tax," 1,830 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30121 - PWA Fiscal Services,Public Works Agency,No SubUnit,2211 - Measure B: ACTIA,0000000 - UNDETERMINED PROJECT,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,41312 - Sales and Use Tax: Measure B," 7,780,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30211 - Engineering & Construction: Admin,Public Works Agency,No SubUnit,2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds,0000000 - UNDETERMINED PROJECT,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,41312 - Sales and Use Tax: Measure B," 1,010,320 "
FY10-11,Revenue,Estimate,pre-test Midcycle,75621 - Oakland Paratransit for Elderly and Disabled,Department of Human Services,No SubUnit,2213 - Measure B: Paratransit - ACTIA,G360210 - OPED ADMIN FY10/11,YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY,41312 - Sales and Use Tax: Measure B," 834,980 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41313 - Sales and Use Tax: Proposition 172," 1,924,700 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30243 - Right of Way Management,Public Works Agency,No SubUnit,2230 - State Gas Tax,0000000 - UNDETERMINED PROJECT,IN04 - STREETS & SIDEWALKS MGMT & DEVELOPMENT,41411 - State Taxes: Gasoline Tax," 6,637,540 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30241 - Engineering Design & ROW: Admin,Public Works Agency,No SubUnit,2141 - State Traffic Congestion Relief - Proposition 42,C173240 - PROP 42-STREET REHAB,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,41412 - State Taxes: Prop 42 Trans Congestion Improvement Act," 4,200,720 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41413 - State Taxes: Motor Vehicle In-Lieu," 1,111,310 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41511 - Local Taxes: Business Tax," 50,813,310 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41512 - Local Taxes: Utility Consumption Tax," 50,800,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41513 - Local Taxes: Bedroom Tax," 144,520 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41514 - Local Taxes: Real Estate Transfer Tax," 33,490,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41515 - Local Taxes: Transient Occupancy Tax," 8,641,950 "
FY10-11,Revenue,Estimate,pre-test Midcycle,62211 - Museum Services Operations,Museum,No SubUnit,2419 - Transient Occupancy Tax (TOT) Surcharge,P391830 - OAK MUSEUM OF CA TOT SURCHARGE,NB20 - MUSEUM OVERSIGHT,41515 - Local Taxes: Transient Occupancy Tax," 294,060 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90591 - City-Wide Activities,Non Departmental and Port,No SubUnit,2419 - Transient Occupancy Tax (TOT) Surcharge,P391840 - CHABOT SPACE  AND SCIENCE CTR TOT SURCHARGE,IP51 - FISCAL MANAGEMENT,41515 - Local Taxes: Transient Occupancy Tax," 294,060 "
FY10-11,Revenue,Estimate,pre-test Midcycle,90591 - City-Wide Activities,Non Departmental and Port,No SubUnit,2419 - Transient Occupancy Tax (TOT) Surcharge,P391810 - OAK CONVNTN & VISITORS BUREAU TOT SURCHARGE,IP51 - FISCAL MANAGEMENT,41515 - Local Taxes: Transient Occupancy Tax," (1,180,700)"
FY10-11,Revenue,Estimate,pre-test Midcycle,90591 - City-Wide Activities,Non Departmental and Port,No SubUnit,2419 - Transient Occupancy Tax (TOT) Surcharge,P391820 - OAK ZOO TRANSIENT OCCPNCY TX (TOT) SURCHARGE,IP51 - FISCAL MANAGEMENT,41515 - Local Taxes: Transient Occupancy Tax," 592,580 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,2310 - Lighting and Landscape Assessment District,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41518 - Local Taxes: Lighting/Landscaping Assessment," 18,208,550 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41519 - Local Taxes: Parking," 7,518,970 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30241 - Engineering Design & ROW: Admin,Public Works Agency,No SubUnit,2165 - Prop 1B Nov 2006 CA Trans Bond,C369620 - STREET REHAB/RESURFACING FUND 2165,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,41520 - Local Taxes: Voter-Approved Special Tax," 6,176,850 "
FY10-11,Revenue,Estimate,pre-test Midcycle,61121 - Departmental Operation,Library,No SubUnit,2240 - Library Services Retention-Enhancement,0000000 - UNDETERMINED PROJECT,NB37 - LIBRARY SYSTEMWIDE SUPPORT,41520 - Local Taxes: Voter-Approved Special Tax," 13,269,950 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20912 - Measure N - Paramedic,Fire Services Agency,No SubUnit,2250 - Measure N: Fund,0000000 - UNDETERMINED PROJECT,PS19 - EMERGENCY MEDICAL RESPONSE,41520 - Local Taxes: Voter-Approved Special Tax," 1,474,650 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20311 - Fire Marshal's Office,Fire Services Agency,No SubUnit,2321 - Wildland Fire Prevention Assess District,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,41520 - Local Taxes: Voter-Approved Special Tax," 1,686,070 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20251 - Communications Emergency Dispatch,Fire Services Agency,No SubUnit,2412 - Alameda County: Emergency Dispatch Service Supplemental Assessment,0000000 - UNDETERMINED PROJECT,PS20 - DISPATCH COMMUNICATIONS,41520 - Local Taxes: Voter-Approved Special Tax," 1,826,860 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,5130 - Rockridge: Library Assessment District,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41520 - Local Taxes: Voter-Approved Special Tax," 134,420 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41611 - Franchise: Gas and Electric," 2,914,420 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41612 - Franchise: Refuse," 4,854,240 "
FY10-11,Revenue,Estimate,pre-test Midcycle,46211 - Customer Support,Office of Communication and Information Services,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP62 - TECHNOLOGY MANAGEMENT,41613 - Franchise: Cable TV," 2,310,570 "
FY10-11,Revenue,Estimate,pre-test Midcycle,63221 - KTOP Operations,City Administrator,No SubUnit,1760 - Telecommunications Reserve,0000000 - UNDETERMINED PROJECT,SC02 - MARKETING & SPECIAL EVENTS,41613 - Franchise: Cable TV," 1,073,720 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,41617 - Franchise: Sewer," 4,122,480 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30234 - Facilities Planning & Development,Public Works Agency,No SubUnit,1720 - Comprehensive Clean-up,P234210 - STREET FURNITURE FRANCHISE AGR,IN06 - PROJECT DELIVERY,41619 - Franchise: Miscellaneous," 89,200 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10313 - Animal Shelter,Police Services Agency,103130 - Animal Shelter,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS13 - SPECIAL OPERATIONS,42111 - Licenses: Animal," 96,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88421 - Permit Center: Inspection Services,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42211 - Permits: Construction," 1,264,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88453 - Infrastructure Inspection,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS31 - DEVELOPMENT PERMIT INSPECTIONS,42211 - Permits: Construction," 375,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88219 - Zoning,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,SC10 - DEVELOPMENT REVIEW/ZONING,42211 - Permits: Construction," 11,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88451 - Commercial Building Inspection,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS31 - DEVELOPMENT PERMIT INSPECTIONS,42211 - Permits: Construction," 2,463,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88431 - Building & Infrastructure Plan Check,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42211 - Permits: Construction," 2,049,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88452 - Residential Building Inspection,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS31 - DEVELOPMENT PERMIT INSPECTIONS,42211 - Permits: Construction," 246,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88411 - Building Services: Administration,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42211 - Permits: Construction," 356,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88432 - Project & Zoning Coordination,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42211 - Permits: Construction," 618,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88454 - Code Enforcement Inspection,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS31 - DEVELOPMENT PERMIT INSPECTIONS,42211 - Permits: Construction," 1,339,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30241 - Engineering Design & ROW: Admin,Public Works Agency,No SubUnit,3100 - Sewer Service Fund,0000000 - UNDETERMINED PROJECT,IN03 - SANITARY & STORM SEWER MGMT & DEVELOPMENT,42312 - Permits: Sewer," 540,800 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88432 - Project & Zoning Coordination,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42313 - Permits: Grading and Excavating," 229,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30523 - Electrical Services: Traffic Maintenance,Public Works Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB40 - TRAFFIC SIGNS AND MARKINGS MANAGEMENT & MAINT,42314 - Permits: Encroachment," 2,210 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30674 - Illegal Dumping,Public Works Agency,No SubUnit,1720 - Comprehensive Clean-up,0000000 - UNDETERMINED PROJECT,NB35 - KEEP OAKLAND CLEAN & BEAUTIFUL,42314 - Permits: Encroachment," 9,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88432 - Project & Zoning Coordination,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42314 - Permits: Encroachment," 40,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88431 - Building & Infrastructure Plan Check,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42314 - Permits: Encroachment," 139,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30541 - Equipment Services: Administration,Public Works Agency,No SubUnit,4100 - Equipment,0000000 - UNDETERMINED PROJECT,IN01 - FLEET MANAGEMENT & MAINTENANCE,42314 - Permits: Encroachment," 81,030 "
FY10-11,Revenue,Estimate,pre-test Midcycle,02111 - City Administrator: Administration,City Administrator,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP03 - ADMINISTRATION,42411 - Special Permits: Police," 157,440 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,P208110 - EXTRA LEGAL LOAD TRANSP PROGRAM,PS14 - TRAFFIC OPERATIONS,42411 - Special Permits: Police," 25,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS19 - EMERGENCY MEDICAL RESPONSE,42411 - Special Permits: Police," 8,910 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10324 - Records,Police Services Agency,103242 - Records Warrants,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS07 - POLICE RECORDS,42411 - Special Permits: Police," 2,420 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS16 - PERSONNEL RESOURCE MANAGEMENT,42411 - Special Permits: Police," 20,790 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS18 - SPECIAL OPERATIONS-EMERGENCY RESPONSE,42411 - Special Permits: Police," 35,650 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102310 - Criminal Investigation,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,42411 - Special Permits: Police," 3,660 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS17 - FIRE SUPPRESSION/FIELD OPERATIONS,42411 - Special Permits: Police," 54,650 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS14 - TRAFFIC OPERATIONS,42411 - Special Permits: Police," 107,090 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20331 - Inspectional Services,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,42412 - Special Permits: Fire," 12,750 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20311 - Fire Marshal's Office,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,42412 - Special Permits: Fire," 60,760 "
FY10-11,Revenue,Estimate,pre-test Midcycle,20311 - Fire Marshal's Office,Fire Services Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,42413 - Special Permits: Fire Clearance Certificate," 9,020 "
FY10-11,Revenue,Estimate,pre-test Midcycle,02111 - City Administrator: Administration,City Administrator,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP03 - ADMINISTRATION,42414 - Special Permits: Charity," 3,890 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,42416 - Special Permits: Residential Parking," 84,790 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30535 - Infrastructure Maint: Tree Services,Public Works Agency,No SubUnit,2310 - Lighting and Landscape Assessment District,0000000 - UNDETERMINED PROJECT,NB09 - TREES,42417 - Special Permits: Tree Removal," 12,600 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88219 - Zoning,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,SC10 - DEVELOPMENT REVIEW/ZONING,42417 - Special Permits: Tree Removal," 6,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,U10651 - Budget Accounting,Police Services Agency,106510 - Budget Accounting,2995 - Police Grants,P378810 - FALSE ALARM PROGRAM,PS01 - AGENCY-WIDE ADMINISTRATION,42418 - Special Permits: Security Alarm," 700,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88431 - Building & Infrastructure Plan Check,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,PS30 - ENGINEERING & ARCHITECTURAL PLAN APPROVAL,42511 - Planning Permit: Zoning," 1,628,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88219 - Zoning,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,SC10 - DEVELOPMENT REVIEW/ZONING,42511 - Planning Permit: Zoning," 718,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88219 - Zoning,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,SC10 - DEVELOPMENT REVIEW/ZONING,42512 - Planning Permit: Subdivision," 132,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,88219 - Zoning,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,0000000 - UNDETERMINED PROJECT,SC10 - DEVELOPMENT REVIEW/ZONING,42513 - Planning Permit: Environmental Impact Report," 393,000 "
FY10-11,Revenue,Estimate,pre-test Midcycle,30261 - Transportation Services: Admin,Public Works Agency,No SubUnit,2416 - Traffic Safety Fund,0000000 - UNDETERMINED PROJECT,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,43111 - Fines: State Vehicle Code," 1,446,270 "
FY10-11,Revenue,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,43112 - Fines: City Traffic Code," 29,615,840 "
